neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Centro,Universidad,40.4222389388076,-3.70453583903794,Entire home/apt,55,2,103,3.24,23,313
Centro,Embajadores,40.410082463498895,-3.69677135963309,Entire home/apt,60,2,13,0.39,2,212
Salamanca,Guindalera,40.4337074529098,-3.6695655715965003,Private room,19,2,5,0.28,14,344
Retiro,Pacífico,40.4020384723766,-3.6753547253806,Private room,26,1,30,5.14,4,72
Centro,Justicia,40.4220536846811,-3.69799881208184,Entire home/apt,60,2,16,3.27,3,268
Arganzuela,Palos de Moguer,40.40359658967,-3.69101403423724,Private room,35,2,0,0.0,1,0
Centro,Universidad,40.4202563987337,-3.70285654993646,Entire home/apt,80,1,2,0.05,10,291
Centro,Sol,40.4186922590419,-3.70359017411771,Private room,36,2,30,6.67,8,0
Centro,Embajadores,40.4089642214843,-3.70632039100363,Entire home/apt,58,2,168,5.38,2,254
Centro,Palacio,40.4131207034743,-3.70808723853245,Entire home/apt,65,2,3,0.28,1,219
Centro,Palacio,40.416977259429395,-3.70994730000201,Entire home/apt,125,2,10,3.9,3,273
Chamartín,Prosperidad,40.4437299422392,-3.6658432065961497,Private room,250,1,0,0.0,1,178
Centro,Sol,40.416138586619795,-3.7066639952582596,Entire home/apt,66,1,16,1.34,3,57
Chamberí,Rios Rosas,40.438666625693294,-3.6988397949445404,Entire home/apt,40,2,0,0.0,1,304
Fuencarral - El Pardo,Valverde,40.4852992200588,-3.68601575070639,Private room,20,1,17,0.98,1,345
Centro,Universidad,40.4252340367701,-3.7104957840942503,Entire home/apt,45,2,14,5.19,46,318
Moncloa - Aravaca,Casa de Campo,40.4228792011692,-3.72243854995296,Private room,75,1,0,0.0,1,0
Centro,Sol,40.418997907476104,-3.70133922813039,Entire home/apt,74,3,27,0.98,9,323
Fuencarral - El Pardo,Mirasierra,40.489860727079794,-3.71227937993286,Private room,411,1,0,0.0,1,180
Arganzuela,Chopera,40.397031780250394,-3.69731297113454,Entire home/apt,55,2,2,0.5,4,149
Centro,Universidad,40.421798378564404,-3.70246024287073,Entire home/apt,65,2,53,3.35,1,265
Centro,Universidad,40.4208264212525,-3.70260332637984,Entire home/apt,70,3,15,0.45,1,4
Puente de Vallecas,Palomeras Bajas,40.3837856729711,-3.6567911600383196,Private room,25,3,8,0.26,4,355
Centro,Embajadores,40.4106440446509,-3.7077812860914303,Private room,25,1,10,2.36,1,138
Ciudad Lineal,Costillares,40.470124003841896,-3.66746988299987,Entire home/apt,70,4,13,0.6,1,289
Centro,Sol,40.4144869938915,-3.7051778394126202,Entire home/apt,84,2,3,2.43,10,36
Centro,Palacio,40.419989448528796,-3.71343529906936,Entire home/apt,143,3,6,0.14,4,306
Centro,Universidad,40.4239499942346,-3.70100902028452,Entire home/apt,75,1,2,1.09,1,55
Chamberí,Arapiles,40.4384337840593,-3.70423566587125,Private room,40,1,10,2.54,1,347
Usera,Moscardó,40.3901707740352,-3.7001315408097004,Private room,37,1,1,0.09,3,327
Tetuán,Castillejos,40.4615858592443,-3.69636072327192,Private room,16,1,17,1.25,2,357
Centro,Justicia,40.4229838601416,-3.7003529838744402,Private room,39,1,145,3.58,5,326
Arganzuela,Palos de Moguer,40.402556537107,-3.69387005648881,Entire home/apt,100,1,6,0.56,1,358
Salamanca,Goya,40.424293700522,-3.67276277899796,Entire home/apt,179,3,56,1.19,6,189
Centro,Justicia,40.426347682457795,-3.69736129767602,Entire home/apt,65,1,0,0.0,1,0
Chamberí,Trafalgar,40.43069426395721,-3.7044464105978196,Entire home/apt,120,2,0,0.0,67,280
Carabanchel,San Isidro,40.3985129144915,-3.73395471774535,Private room,25,1,0,0.0,1,86
Centro,Sol,40.4155112947894,-3.7062282511008595,Entire home/apt,60,3,23,1.42,4,278
Centro,Universidad,40.4247468896476,-3.7065940793849,Entire home/apt,60,2,4,0.52,2,3
Carabanchel,San Isidro,40.396227528599894,-3.7207813812956805,Private room,16,2,9,4.58,1,347
Centro,Universidad,40.4216256757256,-3.70266236825498,Entire home/apt,45,3,24,1.37,1,188
Centro,Universidad,40.427831089340295,-3.70208413899813,Entire home/apt,99,3,64,2.91,9,294
Arganzuela,Acacias,40.3989399905526,-3.70731684863333,Private room,21,1,1,1.0,1,81
Centro,Sol,40.4192038002253,-3.70653586856372,Entire home/apt,49,1,61,5.18,46,252
Centro,Embajadores,40.4092690463291,-3.70342976894229,Entire home/apt,48,3,42,6.7,1,265
Retiro,Pacífico,40.4034460017876,-3.67780426672121,Entire home/apt,64,1,19,0.47,1,97
