neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Centro,Embajadores,40.4134181798486,-3.70683844591936,Entire home/apt,80,5,18,0.3,1,188
Moncloa - Aravaca,Argüelles,40.4249202354475,-3.7134461317198397,Entire home/apt,40,2,21,0.25,9,195
Latina,Cármenes,40.4034095295952,-3.74084196863602,Private room,16,2,23,0.76,2,250
Centro,Justicia,40.4201531349237,-3.6964982468400605,Entire home/apt,100,4,31,0.43,1,232
Fuencarral - El Pardo,Peñagrande,40.4821847913873,-3.7256838988521497,Private room,21,2,6,0.69,2,249
Arganzuela,Legazpi,40.391160975694106,-3.68823383944343,Private room,45,2,15,0.19,3,360
Arganzuela,Legazpi,40.3898504631101,-3.6901077862406497,Private room,23,2,66,0.78,3,331
Centro,Sol,40.415524548136794,-3.7034586001718504,Entire home/apt,57,2,118,1.43,3,324
Centro,Embajadores,40.4092594680981,-3.7050492278983502,Private room,20,6,3,0.05,1,311
Arganzuela,Palos de Moguer,40.4029856202125,-3.69181564797689,Private room,149,2,0,0.0,1,365
Chamberí,Trafalgar,40.436075372561604,-3.7017266421433597,Entire home/apt,90,3,29,0.49,4,322
Usera,Almendrales,40.3824124986853,-3.70333114837287,Entire home/apt,40,5,13,0.57,1,59
Centro,Embajadores,40.408206976109,-3.70246154499462,Private room,147,1,0,0.0,1,365
Centro,Justicia,40.4197781770494,-3.69729889336447,Entire home/apt,66,3,68,0.84,1,314
Salamanca,Goya,40.4276106510041,-3.67604451881272,Entire home/apt,84,6,47,0.61,1,302
Centro,Universidad,40.4236453627478,-3.70889414593131,Entire home/apt,60,4,18,0.24,3,102
Chamberí,Arapiles,40.4335920684749,-3.70687262726408,Entire home/apt,145,3,10,0.43,11,250
Centro,Embajadores,40.4111922427678,-3.7046991340424102,Entire home/apt,110,2,36,0.48,3,343
Centro,Sol,40.4163740944257,-3.7030545345944796,Entire home/apt,95,3,20,0.32,11,313
Centro,Cortes,40.4113872465647,-3.69408466547771,Entire home/apt,90,3,7,0.23,11,326
Centro,Embajadores,40.4074330598837,-3.6971941815968696,Entire home/apt,59,3,33,0.55,1,161
Salamanca,Recoletos,40.4231516319146,-3.68278929620979,Entire home/apt,60,3,99,1.37,2,303
Centro,Embajadores,40.4089360690116,-3.69766009230395,Entire home/apt,100,2,80,1.13,3,340
Centro,Palacio,40.4121762504786,-3.71369090921044,Entire home/apt,116,2,136,1.93,4,319
Centro,Justicia,40.4242179540665,-3.69538451311943,Private room,50,2,60,0.84,1,339
Tetuán,Cuatro Caminos,40.455589020671,-3.6942109463715203,Private room,20,1,151,2.53,1,331
Puente de Vallecas,Palomeras Bajas,40.3831750356833,-3.6556512114136406,Private room,23,3,64,0.9,4,341
Centro,Palacio,40.4199710346887,-3.70814992067207,Entire home/apt,75,2,4,0.06,7,316
Fuencarral - El Pardo,Valverde,40.5011589819946,-3.67118585798073,Entire home/apt,60,2,3,0.28,1,0
Centro,Justicia,40.423961531992894,-3.6976989878598197,Private room,75,1,0,0.0,1,365
Centro,Embajadores,40.4085811564949,-3.7030125667849396,Entire home/apt,65,3,32,0.75,5,334
Ciudad Lineal,Pueblo Nuevo,40.4333121502063,-3.64354963494093,Private room,35,1,0,0.0,1,365
Chamberí,Trafalgar,40.4315829011013,-3.70071056560181,Entire home/apt,195,1,7,0.1,14,291
Centro,Embajadores,40.408902068603396,-3.6980471068085,Entire home/apt,55,2,26,0.36,1,310
Chamberí,Rios Rosas,40.4382540442034,-3.69387578063071,Entire home/apt,75,2,59,0.88,4,299
Salamanca,Goya,40.4221223930746,-3.67840953784292,Entire home/apt,75,3,19,0.27,11,65
Centro,Palacio,40.40957832064,-3.7104248314536696,Entire home/apt,100,3,50,0.75,11,299
Centro,Palacio,40.411123554525396,-3.71025381552672,Private room,25,1,71,1.03,5,350
Villa de Vallecas,Casco Histórico de Vallecas,40.3679434863228,-3.59927640760601,Private room,80,1,0,0.0,1,365
Centro,Cortes,40.414664446056705,-3.70161793790685,Entire home/apt,195,3,12,0.22,1,282
Centro,Embajadores,40.4128947812284,-3.7007796901646604,Entire home/apt,50,2,142,2.0,9,318
Villaverde,Los Angeles,40.357354349892205,-3.6963401775826,Private room,22,1,42,0.6,1,280
Centro,Palacio,40.4129914733089,-3.7112731418668403,Private room,27,3,38,0.56,1,219
Arganzuela,Acacias,40.403591978350896,-3.70727862836972,Private room,40,1,2,0.29,1,365
Centro,Embajadores,40.4067195747767,-3.7011594890188997,Entire home/apt,100,2,3,0.27,8,72
Centro,Embajadores,40.4078050286737,-3.7032539655654104,Entire home/apt,38,5,14,0.45,1,273
Latina,Puerta del Angel,40.4091544103141,-3.72415837452119,Private room,20,2,39,0.57,9,347
Centro,Cortes,40.415152533080104,-3.70002733607849,Private room,20,2,57,0.83,9,341
Centro,Sol,40.4197692778907,-3.6999109520060998,Entire home/apt,102,3,2,0.09,11,330
San Blas - Canillejas,Salvador,40.4457457941961,-3.6380079937690497,Entire home/apt,75,3,7,0.13,11,338
Centro,Universidad,40.4214957611282,-3.70345137741085,Private room,28,1,20,0.35,5,348
Centro,Universidad,40.423422211541705,-3.7048737485506997,Private room,28,1,156,2.48,5,347
Centro,Universidad,40.4276176961741,-3.70323098376527,Entire home/apt,75,5,6,0.1,28,65
Centro,Universidad,40.429024794160206,-3.70397798482265,Entire home/apt,75,5,4,0.06,28,156
Centro,Justicia,40.4239670758264,-3.69463001047365,Entire home/apt,120,1,5,0.11,4,277
Centro,Justicia,40.4233893816095,-3.69475463488389,Private room,50,1,12,0.29,4,277
Centro,Justicia,40.4239626895527,-3.69545195156515,Entire home/apt,100,1,0,0.0,4,277
Centro,Embajadores,40.4095756223969,-3.70519474367282,Entire home/apt,70,1,71,7.8,1,268
Chamberí,Trafalgar,40.4317527361318,-3.7006611924031496,Private room,35,2,32,0.47,2,112
Centro,Sol,40.415157193564,-3.70731063837072,Entire home/apt,85,3,129,1.92,3,221
Centro,Palacio,40.4108811502123,-3.7109764948097403,Entire home/apt,65,3,127,1.86,2,50
Centro,Universidad,40.4253789084781,-3.7050514552991802,Private room,39,2,8,0.36,3,333
Centro,Embajadores,40.4139188080079,-3.70356167298262,Private room,70,3,87,1.28,1,297
Centro,Embajadores,40.407968030023206,-3.69977782295483,Entire home/apt,55,5,0,0.0,1,20
Salamanca,Castellana,40.4318646013176,-3.6851471053330296,Entire home/apt,140,7,0,0.0,4,365
Centro,Universidad,40.4238370087847,-3.70686036664152,Private room,40,1,33,0.49,3,357
Centro,Cortes,40.4147587255725,-3.69531292688788,Entire home/apt,130,5,91,1.35,1,314
Moncloa - Aravaca,Argüelles,40.4297329589886,-3.72117588526187,Private room,30,15,4,0.07,4,342
Centro,Embajadores,40.412729409852794,-3.7032392069314506,Private room,30,7,19,0.3,1,250
Carabanchel,Puerta Bonita,40.3798739493941,-3.73215111566321,Entire home/apt,85,2,86,1.29,1,326
Hortaleza,Canillas,40.4585644621267,-3.6481108128586204,Private room,40,2,44,0.66,1,317
Centro,Cortes,40.4126722801222,-3.6992168888748904,Entire home/apt,70,2,0,0.0,1,179
Centro,Cortes,40.41365683011271,-3.6978366216411,Entire home/apt,76,2,41,0.69,12,338
Centro,Sol,40.4160136168588,-3.7085287827347098,Entire home/apt,145,3,126,1.92,12,291
Centro,Universidad,40.4234830806083,-3.70335841746534,Private room,25,1,80,1.2,3,171
Centro,Embajadores,40.411302789474504,-3.7078427195745,Entire home/apt,95,3,35,0.58,6,312
Centro,Cortes,40.4151753671989,-3.69979595233271,Private room,27,2,110,1.72,1,311
Chamberí,Arapiles,40.4342307677774,-3.70703093769611,Private room,25,4,25,0.46,1,281
Chamartín,El Viso,40.4473388192566,-3.68951988508053,Entire home/apt,75,2,61,1.05,1,323
Carabanchel,San Isidro,40.393764462804704,-3.7248273539457597,Private room,25,4,66,0.99,3,119
Carabanchel,San Isidro,40.3938886147964,-3.72331389222588,Entire home/apt,45,4,15,0.22,3,164
Tetuán,Cuatro Caminos,40.4502103347447,-3.6991016951896696,Entire home/apt,46,3,8,0.16,1,96
Centro,Sol,40.415232176378495,-3.70649968154602,Entire home/apt,76,2,88,1.43,12,334
Centro,Justicia,40.4202403769828,-3.69746751758178,Entire home/apt,65,3,69,1.05,11,308
Centro,Universidad,40.4258601390865,-3.71049062040994,Entire home/apt,40,3,86,1.48,4,224
Centro,Embajadores,40.4081407358023,-3.70171137063654,Entire home/apt,56,3,25,0.4,1,280
Hortaleza,Valdefuentes,40.4708765276869,-3.6286567190649106,Entire home/apt,120,2,66,1.1,4,333
Tetuán,Berruguete,40.4550946901776,-3.70286299640363,Private room,24,1,29,0.44,1,365
Centro,Embajadores,40.4123576237728,-3.70283811808321,Entire home/apt,72,3,42,0.66,1,96
Centro,Embajadores,40.408982046718705,-3.7092047346779298,Entire home/apt,70,3,152,2.38,7,103
Centro,Universidad,40.4241870107679,-3.7083477028015697,Entire home/apt,110,5,5,0.11,28,92
Centro,Palacio,40.420415411085,-3.7099148636568797,Private room,30,1,139,2.24,2,271
Centro,Cortes,40.413650225306604,-3.70071767299977,Entire home/apt,59,3,6,0.13,8,271
Centro,Cortes,40.4145407036696,-3.7012119216222104,Entire home/apt,59,3,14,0.23,8,272
Salamanca,Recoletos,40.42687608604621,-3.6851997539778103,Entire home/apt,198,2,35,0.59,1,327
Centro,Sol,40.417900294039,-3.7081932629922796,Entire home/apt,90,2,3,0.15,1,29
Centro,Justicia,40.4254009783188,-3.69661655421883,Entire home/apt,113,3,23,0.39,11,289
Centro,Universidad,40.425552570415,-3.71086685292627,Private room,30,1,11,0.18,2,0
Centro,Cortes,40.417599383819706,-3.69807760208199,Private room,34,1,132,3.02,14,343
Latina,Puerta del Angel,40.41136055592779,-3.72456390716516,Private room,20,2,31,0.51,9,345
Moncloa - Aravaca,Argüelles,40.425032133397295,-3.7135993429542404,Entire home/apt,75,4,16,0.44,51,304
Centro,Embajadores,40.4088537300506,-3.69856816833961,Entire home/apt,50,5,39,0.69,2,169
Chamberí,Gaztambide,40.4356731844671,-3.71638525456368,Entire home/apt,45,2,94,1.53,9,339
Centro,Justicia,40.4220273035268,-3.6989805140403598,Private room,25,4,24,0.38,3,355
Centro,Sol,40.414886064788604,-3.70738313762075,Entire home/apt,80,3,30,0.72,9,324
Hortaleza,Canillas,40.4636692753799,-3.6484989593651598,Private room,48,1,48,0.76,1,259
Centro,Justicia,40.4283317119797,-3.700752495338,Private room,45,3,137,2.22,1,0
Centro,Embajadores,40.4077940083854,-3.69613884081884,Entire home/apt,65,3,39,0.7,1,258
Chamberí,Trafalgar,40.4285782363647,-3.6985848615661503,Entire home/apt,210,5,13,0.24,28,64
Centro,Universidad,40.425786589291796,-3.7052620167105697,Entire home/apt,138,3,132,2.15,1,327
Latina,Aluche,40.3938226910659,-3.75871194905658,Entire home/apt,80,5,8,0.13,1,217
Centro,Embajadores,40.408624149198204,-3.7076488354833903,Entire home/apt,75,2,114,1.8,1,143
Centro,Embajadores,40.411204380882,-3.70741471887175,Entire home/apt,95,2,20,0.51,40,268
Carabanchel,Vista Alegre,40.3880817803255,-3.73455644371044,Private room,35,2,1,0.04,1,365
Centro,Cortes,40.4143299097119,-3.7012335767724402,Entire home/apt,59,3,21,0.37,8,265
