Aruba,ABW,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,83,134,233,324,317,151,99,77,55,96,,,,,23,,
Afghanistan,AFG,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,878047,,,,,,,,,,,,,,,,,,,1034842,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,281842,315254,,,,,,,,,,,,,,,467049,,,,,,,,,,431230,463178,483922,525174,,,,,
Albania,ALB,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5480,6330,7518,,10409,10108,,,,9747,13205,10487,7775,4395,4196,,,
Andorra,AND,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,6099133,6258468,6260728,6275221,6355266,6268758,6192059,6192170,6218396,6037277,5934692,5950425,5953351,5943431,5879204,5917946,5882752,5820334,5818244,5973560,5794467,5867619,6643716,6657386,6210699,6555482,6050840,6012905,5829307,5530311,5310041,4960962,4680799,4397883,4250839,4235128,4218424,4029001,3861943,3787421,3580299,3625814,3351601,3518214,3677645,,
United Arab Emirates,ARE,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,6456,,9488,12427,10889,14811,16067,17560,18421,11723,10260,6617,,,6666,8775,10379,9235,11311,15446,14252,19655,25930,29894,24309,12251,8465,4881,2904,4381,,12287,7437,10742,7055,7475,6748,8339,
Argentina,ARG,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,63661,,,,49849,53942,,,,,,,,,,,,,,,,83647,,,,,,,,4292,,,,14135,28812,22803,17580,13082,17222,17761,33903,32045,31673,24780,11307,,
Armenia,ARM,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8931,9154,,5293,3183,1023,,,,,,,,2559,
American Samoa,ASM,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
