Source,Target,Weight
262230432,435976043,1
353786894,16304487,1
394892872,89194184,1
516464106,20780732,1
516464106,28987332,1
262230432,68674747,1
213969309,971608718,1
213969309,116779603,1
213969309,56126642,1
213969309,40076725,1
394892872,303328764,1
213969309,1356158774,1
353786894,134733894,1
213969309,32941091,1
262230432,527526077,1
394892872,462346627,1
516464106,997047355084963840,1
516464106,1127984530529214464,1
213969309,20678384,1
516464106,479265563,1
214413743,1432782902,1
516464106,2521383263,1
262230432,2231296237,1
213969309,93247246,1
262230432,94346993,1
516464106,45575696,1
213969309,188039706,1
537951506,36339032,1
353786894,111933542,1
353786894,277569566,1
353786894,607002158,1
214413743,19115359,1
516464106,1058807665126719488,1
213969309,69008563,1
516464106,127999573,1
516464106,1959187831,1
902951244549038081,210775513,1
213969309,1903382054,1
213969309,20054788,1
516464106,961384852619776000,1
214413743,36767299,1
537951506,1054674486,1
214413743,32340023,1
537951506,169686021,1
394892872,79051895,1
213969309,21802377,1
537951506,363176317,1
213969309,180505807,1
213969309,41562632,1
516464106,330552692,1
262230432,2809658254,1
213969309,179414795,1
213969309,2150799096,1
214413743,185902260,1
537951506,3307434295,1
516464106,2869592409,1
394892872,52344859,1
214413743,25403689,1
537951506,73395319,1
537951506,143490131,1
394892872,58444150,1
213969309,20221159,1
213969309,35787166,1
353786894,183310558,1
214413743,369583954,1
214413743,46509425,1
507672047,382560919,1
353786894,396836687,1
213969309,123577980,1
394892872,119437449,1
213969309,461129219,1
213969309,14442916,1
213969309,2572841307,1
394892872,187113764,1
394892872,83855918,1
213969309,323212643,1
516464106,19267015,1
516464106,214413743,1
214413743,78502161,1
394892872,300917513,1
537951506,249171454,1
537951506,76698807,1
537951506,110918338,1
213969309,36139712,1
394892872,52686916,1
516464106,835938734,1
537951506,2320469730,1
537951506,971608718,1
353786894,703581570,1
213969309,204003334,1
213969309,59247894,1
507672047,960431600587681793,1
262230432,1167104447291494401,1
507672047,589103445,1
213969309,2893676045,1
537951506,281198548,1
262230432,343938253,1
516464106,567167802,1
516464106,2371827829,1
213969309,127910704,1
213969309,208957664,1
507672047,330886345,1
353786894,705617308224344064,1
213969309,428377986,1
507672047,197314637,1
213969309,100220864,1
537951506,491201674,1
516464106,106170617,1
537951506,45798321,1
537951506,69008563,1
213969309,549470860,1
507672047,26330200,1
213969309,616009003,1
213969309,171117515,1
394892872,357591839,1
213969309,1541795455,1
394892872,265352508,1
516464106,2276925091,1
214413743,68674747,1
516464106,1622716321,1
214413743,264348057,1
214413743,71374131,1
353786894,594802359,1
516464106,726825148494544896,1
213969309,1272849250523717638,1
213969309,954103737282215937,1
516464106,2313284220,1
537951506,179414795,1
213969309,1676236441,1
213969309,109198736,1
213969309,269840610,1
213969309,25060424,1
213969309,970685659,1
214413743,21044208,1
213969309,207865030,1
537951506,224362490,1
394892872,466649242,1
516464106,575882566,1
516464106,1114036494,1
516464106,271972038,1
507672047,14872237,1
353786894,50380435,1
353786894,329686741,1
537951506,1057621820,1
394892872,239537056,1
213969309,556260847,1
507672047,107324539,1
213969309,2742755283,1
537951506,754613281,1
353786894,156635674,1
507672047,490756890,1
353786894,81667386,1
394892872,24672558,1
516464106,1415678455,1
213969309,589784512,1
516464106,13610342,1
262230432,857011932657856512,1
213969309,427342771,1
353786894,65594904,1
516464106,999598702485561354,1
