Source,Target,Type,Id,Label,Weight
537951506,716238475,Undirected,902,,1
213969309,188039706,Undirected,26,,1
353786894,188039706,Undirected,1514,,1
353786894,437610627,Undirected,1238,,1
262230432,248807431,Undirected,294,,1
537951506,248807431,Undirected,1638,,1
353786894,138456571,Undirected,1185,,1
537951506,138456571,Undirected,2831,,1
214413743,68674747,Undirected,118,,1
214413743,21044208,Undirected,133,,1
214413743,370056930,Undirected,201,,1
214413743,82322622,Undirected,346,,1
214413743,235910394,Undirected,360,,1
214413743,315373823,Undirected,418,,1
214413743,318967677,Undirected,460,,1
214413743,217461138,Undirected,517,,1
214413743,22622572,Undirected,557,,1
214413743,262230432,Undirected,577,,1
214413743,111280097,Undirected,604,,1
214413743,226087776,Undirected,617,,1
214413743,249186003,Undirected,741,,1
214413743,35117415,Undirected,767,,1
214413743,197314637,Undirected,947,,1
214413743,321021481,Undirected,1080,,1
214413743,21200516,Undirected,1257,,1
214413743,17540485,Undirected,1399,,1
214413743,970154557,Undirected,1585,,1
214413743,45843783,Undirected,1689,,1
214413743,40837929,Undirected,1720,,1
214413743,41785723,Undirected,1773,,1
214413743,69008563,Undirected,1903,,1
214413743,41562632,Undirected,1912,,1
214413743,97305237,Undirected,1915,,1
214413743,24871896,Undirected,1933,,1
214413743,195199790,Undirected,2013,,1
214413743,29774933,Undirected,2069,,1
214413743,28247294,Undirected,2114,,1
214413743,55353207,Undirected,2149,,1
214413743,87541152,Undirected,2169,,1
214413743,115044590,Undirected,2357,,1
214413743,20600235,Undirected,2378,,1
214413743,170863272,Undirected,2386,,1
214413743,1174486086,Undirected,2388,,1
214413743,101485496,Undirected,2419,,1
214413743,183310558,Undirected,2479,,1
214413743,118921833,Undirected,2614,,1
214413743,30969644,Undirected,2798,,1
214413743,386420143,Undirected,2908,,1
214413743,23440052,Undirected,2964,,1
516464106,214413743,Undirected,77,,1
213969309,214413743,Undirected,645,,1
537951506,214413743,Undirected,717,,1
507672047,214413743,Undirected,1653,,1
353786894,214413743,Undirected,2143,,1
537951506,2336701140,Undirected,347,,1
353786894,2336701140,Undirected,1749,,1
516464106,74153895,Undirected,2246,,1
537951506,74153895,Undirected,2905,,1
516464106,86221966,Undirected,199,,1
262230432,86221966,Undirected,2567,,1
507672047,82724710,Undirected,771,,1
537951506,82724710,Undirected,838,,1
353786894,79412477,Undirected,1081,,1
507672047,197314637,Undirected,104,,1
516464106,21044208,Undirected,684,,1
213969309,21044208,Undirected,1320,,1
537951506,970154557,Undirected,774,,1
507672047,970154557,Undirected,1708,,1
353786894,970154557,Undirected,2206,,1
353786894,151398671,Undirected,1119,,1
537951506,151398671,Undirected,2763,,1
213969309,1903382054,Undirected,37,,1
516464106,45575696,Undirected,25,,1
537951506,45575696,Undirected,677,,1
262230432,45575696,Undirected,2381,,1
353786894,219422455,Undirected,753,,1
507672047,14872237,Undirected,140,,1
507672047,169248299,Undirected,218,,1
507672047,516464106,Undirected,539,,1
507672047,318967677,Undirected,572,,1
507672047,116504344,Undirected,579,,1
507672047,217461138,Undirected,625,,1
507672047,23746926,Undirected,711,,1
507672047,426488154,Undirected,718,,1
507672047,125832497,Undirected,744,,1
507672047,3143321146,Undirected,745,,1
507672047,53053378,Undirected,788,,1
507672047,1337785291,Undirected,793,,1
507672047,50003640,Undirected,928,,1
507672047,971608718,Undirected,959,,1
507672047,41562632,Undirected,1009,,1
507672047,179414795,Undirected,1015,,1
507672047,1098828360,Undirected,1132,,1
507672047,1121441719,Undirected,1136,,1
507672047,55353207,Undirected,1283,,1
507672047,501836993,Undirected,1315,,1
507672047,479265563,Undirected,1597,,1
507672047,57099808,Undirected,1703,,1
507672047,118921833,Undirected,1711,,1
507672047,414248813,Undirected,1735,,1
507672047,30969644,Undirected,1902,,1
507672047,23440052,Undirected,2076,,1
507672047,344634424,Undirected,2265,,1
507672047,102789583,Undirected,2467,,1
507672047,235910394,Undirected,2520,,1
507672047,157055308,Undirected,2521,,1
507672047,183310558,Undirected,2625,,1
507672047,35117415,Undirected,2950,,1
353786894,507672047,Undirected,326,,1
262230432,507672047,Undirected,598,,1
537951506,507672047,Undirected,1945,,1
353786894,116504344,Undirected,1071,,1
537951506,31209800,Undirected,1225,,1
262230432,31209800,Undirected,2924,,1
537951506,118921833,Undirected,779,,1
353786894,118921833,Undirected,2209,,1
516464106,2882426554,Undirected,1575,,1
262230432,321388777,Undirected,1614,,1
537951506,321388777,Undirected,2969,,1
516464106,45843783,Undirected,231,,1
353786894,226087776,Undirected,1250,,1
213969309,226087776,Undirected,2814,,1
537951506,226087776,Undirected,2872,,1
516464106,1121441719,Undirected,2624,,1
213969309,68367000,Undirected,1390,,1
516464106,22622572,Undirected,2129,,1
213969309,22622572,Undirected,2743,,1
537951506,22622572,Undirected,2817,,1
353786894,703581570,Undirected,88,,1
262230432,703581570,Undirected,1369,,1
516464106,703581570,Undirected,2026,,1
537951506,703581570,Undirected,2710,,1
516464106,30969644,Undirected,1338,,1
537951506,30969644,Undirected,1971,,1
537951506,224201809,Undirected,1498,,1
353786894,224201809,Undirected,2912,,1
516464106,169248299,Undirected,2683,,1
213969309,2471739785,Undirected,1974,,1
537951506,60706671,Undirected,205,,1
353786894,60706671,Undirected,1610,,1
516464106,455801373,Undirected,2555,,1
537951506,413383203,Undirected,610,,1
353786894,413383203,Undirected,2025,,1
516464106,413383203,Undirected,2990,,1
537951506,402629721,Undirected,1542,,1
353786894,402629721,Undirected,2955,,1
537951506,110918338,Undirected,82,,1
353786894,110918338,Undirected,1484,,1
262230432,18936161,Undirected,1383,,1
537951506,18936161,Undirected,1713,,1
516464106,24871896,Undirected,458,,1
213969309,24871896,Undirected,1033,,1
537951506,24871896,Undirected,1116,,1
353786894,24871896,Undirected,2543,,1
537951506,1174486086,Undirected,1587,,1
353786894,1174486086,Undirected,2994,,1
537951506,64725596,Undirected,1688,,1
353786894,64725596,Undirected,2096,,1
213969309,121034444,Undirected,2653,,1
353786894,134402553,Undirected,2995,,1
262230432,20600235,Undirected,241,,1
516464106,20600235,Undirected,897,,1
213969309,20600235,Undirected,1513,,1
537951506,20600235,Undirected,1578,,1
353786894,20600235,Undirected,2991,,1
537951506,1098828360,Undirected,230,,1
262230432,1098828360,Undirected,1922,,1
353786894,368276033,Undirected,1153,,1
262230432,368276033,Undirected,1456,,1
516464106,368276033,Undirected,2122,,1
213969309,368276033,Undirected,2728,,1
537951506,368276033,Undirected,2808,,1
262230432,267304766,Undirected,2566,,1
213969309,179414795,Undirected,51,,1
537951506,179414795,Undirected,127,,1
353786894,179414795,Undirected,1536,,1
516464106,246735213,Undirected,1443,,1
353786894,24871778,Undirected,1032,,1
516464106,24871778,Undirected,2001,,1
537951506,24871778,Undirected,2689,,1
213969309,414248813,Undirected,736,,1
262230432,414248813,Undirected,2510,,1
353786894,45112524,Undirected,1114,,1
213969309,45112524,Undirected,2688,,1
537951506,45112524,Undirected,2756,,1
262230432,412659618,Undirected,380,,1
537951506,412659618,Undirected,1725,,1
213969309,83855918,Undirected,922,,1
213969309,191879849,Undirected,1811,,1
537951506,36339032,Undirected,27,,1
353786894,36339032,Undirected,1446,,1
262230432,36339032,Undirected,1717,,1
213969309,204074545,Undirected,2921,,1
537951506,204074545,Undirected,2985,,1
537951506,496969269,Undirected,163,,1
213969309,971608718,Undirected,6,,1
537951506,971608718,Undirected,87,,1
516464106,971608718,Undirected,2447,,1
516464106,52686916,Undirected,363,,1
537951506,52686916,Undirected,998,,1
353786894,52686916,Undirected,2441,,1
213969309,69008563,Undirected,33,,1
213969309,41562632,Undirected,48,,1
213969309,123577980,Undirected,68,,1
213969309,556260847,Undirected,145,,1
213969309,21200516,Undirected,377,,1
213969309,353786894,Undirected,411,,1
213969309,45578562,Undirected,520,,1
213969309,30180137,Undirected,553,,1
213969309,151123001,Undirected,644,,1
213969309,40837929,Undirected,828,,1
213969309,10228272,Undirected,892,,1
213969309,38170974,Undirected,956,,1
213969309,24672558,Undirected,1002,,1
213969309,397306167,Undirected,1088,,1
213969309,54502344,Undirected,1113,,1
213969309,108568373,Undirected,1174,,1
213969309,68674747,Undirected,1296,,1
213969309,29268463,Undirected,1299,,1
213969309,170863272,Undirected,1520,,1
213969309,158487331,Undirected,1654,,1
213969309,813286,Undirected,1700,,1
213969309,111280097,Undirected,1766,,1
213969309,35117415,Undirected,1952,,1
213969309,1143472657,Undirected,1965,,1
213969309,386420143,Undirected,2021,,1
213969309,155620461,Undirected,2105,,1
213969309,14872237,Undirected,2183,,1
213969309,90636188,Undirected,2236,,1
213969309,295345685,Undirected,2239,,1
213969309,248655839,Undirected,2297,,1
213969309,19762524,Undirected,2321,,1
213969309,128155589,Undirected,2362,,1
213969309,146813134,Undirected,2406,,1
213969309,32453930,Undirected,2430,,1
213969309,229454266,Undirected,2488,,1
213969309,215952307,Undirected,2507,,1
213969309,1037633133523423232,Undirected,2563,,1
213969309,155927976,Undirected,2605,,1
213969309,516464106,Undirected,2608,,1
213969309,3063082745,Undirected,2671,,1
213969309,1337785291,Undirected,2852,,1
537951506,213969309,Undirected,462,,1
262230432,213969309,Undirected,2155,,1
537951506,113301403,Undirected,2980,,1
353786894,138041655,Undirected,1176,,1
537951506,3063082745,Undirected,2739,,1
537951506,4854457427,Undirected,1379,,1
537951506,37680901,Undirected,290,,1
516464106,37680901,Undirected,2685,,1
537951506,53047484,Undirected,1224,,1
353786894,53047484,Undirected,2659,,1
353786894,2375037612,Undirected,1210,,1
516464106,2375037612,Undirected,2178,,1
537951506,2375037612,Undirected,2845,,1
516464106,24672558,Undirected,427,,1
537951506,475936983,Undirected,160,,1
262230432,475936983,Undirected,1855,,1
537951506,2853456283,Undirected,3022,,1
537951506,931712743,Undirected,2753,,1
516464106,307286301,Undirected,1850,,1
537951506,307286301,Undirected,2513,,1
537951506,235910394,Undirected,1593,,1
353786894,235910394,Undirected,3002,,1
353786894,259143595,Undirected,649,,1
516464106,259143595,Undirected,1616,,1
537951506,259143595,Undirected,2284,,1
537951506,23440052,Undirected,2160,,1
353786894,23440052,Undirected,2593,,1
516464106,286196788,Undirected,1512,,1
262230432,249694071,Undirected,442,,1
537951506,249694071,Undirected,1779,,1
516464106,479265563,Undirected,19,,1
516464106,19267015,Undirected,76,,1
516464106,207071479,Undirected,259,,1
516464106,19916572,Undirected,272,,1
516464106,10228272,Undirected,318,,1
516464106,245556939,Undirected,361,,1
516464106,265352508,Undirected,390,,1
516464106,56652148,Undirected,456,,1
516464106,120088875,Undirected,503,,1
516464106,397306167,Undirected,509,,1
516464106,54502344,Undirected,529,,1
516464106,28247294,Undirected,642,,1
516464106,1464295423,Undirected,658,,1
516464106,38485549,Undirected,660,,1
516464106,68674747,Undirected,669,,1
516464106,115044590,Undirected,869,,1
516464106,736341350,Undirected,881,,1
516464106,49391820,Undirected,940,,1
516464106,315373823,Undirected,962,,1
516464106,707494670,Undirected,1000,,1
516464106,102076372,Undirected,1130,,1
516464106,1231506325,Undirected,1151,,1
516464106,23575595,Undirected,1160,,1
516464106,162840111,Undirected,1188,,1
516464106,2788626986,Undirected,1272,,1
516464106,273538402,Undirected,1365,,1
516464106,20232903,Undirected,1516,,1
516464106,155620461,Undirected,1524,,1
516464106,37921477,Undirected,1586,,1
516464106,2742056954,Undirected,1632,,1
516464106,1635567745,Undirected,1674,,1
516464106,301521704,Undirected,1687,,1
516464106,19762524,Undirected,1724,,1
516464106,168630392,Undirected,1784,,1
516464106,239796110,Undirected,1880,,1
516464106,316989623,Undirected,1885,,1
516464106,44122009,Undirected,1951,,1
516464106,155642429,Undirected,2024,,1
516464106,318967677,Undirected,2027,,1
516464106,1148332369,Undirected,2075,,1
516464106,184329890,Undirected,2120,,1
516464106,16143542,Undirected,2126,,1
516464106,242923013,Undirected,2144,,1
516464106,262230432,Undirected,2157,,1
516464106,113355808,Undirected,2210,,1
516464106,243794759,Undirected,2271,,1
516464106,256569627,Undirected,2285,,1
516464106,507534639,Undirected,2330,,1
516464106,50003640,Undirected,2400,,1
516464106,363176317,Undirected,2413,,1
516464106,1186567051,Undirected,2415,,1
516464106,69008563,Undirected,2469,,1
516464106,221817464,Undirected,2477,,1
516464106,301678233,Undirected,2540,,1
516464106,83870452,Undirected,2580,,1
516464106,556260847,Undirected,2606,,1
516464106,229447010,Undirected,2646,,1
516464106,16240253,Undirected,2719,,1
516464106,87541152,Undirected,2750,,1
516464106,147558951,Undirected,2792,,1
516464106,142334370,Undirected,2823,,1
516464106,142204481,Undirected,2861,,1
516464106,309366491,Undirected,2889,,1
516464106,229454266,Undirected,2897,,1
516464106,101485496,Undirected,2988,,1
353786894,516464106,Undirected,1006,,1
537951506,516464106,Undirected,2672,,1
353786894,1131131095,Undirected,2545,,1
537951506,506269108,Undirected,2774,,1
537951506,195199790,Undirected,1219,,1
353786894,195199790,Undirected,1629,,1
353786894,321021481,Undirected,1704,,1
353786894,32453930,Undirected,849,,1
537951506,120088875,Undirected,1152,,1
353786894,78030647,Undirected,1242,,1
537951506,78030647,Undirected,2868,,1
262230432,20232903,Undirected,818,,1
353786894,1143472657,Undirected,416,,1
537951506,1143472657,Undirected,2039,,1
537951506,229447010,Undirected,253,,1
353786894,229447010,Undirected,1664,,1
262230432,229447010,Undirected,1946,,1
537951506,15603629,Undirected,1252,,1
353786894,15603629,Undirected,2681,,1
537951506,156606331,Undirected,1361,,1
353786894,156606331,Undirected,2777,,1
262230432,397306167,Undirected,2869,,1
262230432,421957377,Undirected,2292,,1
537951506,363176317,Undirected,46,,1
537951506,468551805,Undirected,2998,,1
537951506,370056930,Undirected,1445,,1
262230432,256569627,Undirected,1603,,1
353786894,1464295423,Undirected,2764,,1
537951506,1229481818,Undirected,1163,,1
262230432,1229481818,Undirected,2873,,1
353786894,41562632,Undirected,1530,,1
353786894,63490735,Undirected,968,,1
537951506,63490735,Undirected,2645,,1
537951506,69008563,Undirected,109,,1
537951506,83870452,Undirected,197,,1
537951506,556260847,Undirected,217,,1
537951506,950341134,Undirected,257,,1
537951506,16240253,Undirected,339,,1
537951506,87541152,Undirected,374,,1
537951506,21200516,Undirected,450,,1
537951506,142204481,Undirected,486,,1
537951506,353786894,Undirected,492,,1
537951506,229454266,Undirected,525,,1
537951506,45578562,Undirected,580,,1
537951506,17540485,Undirected,583,,1
537951506,108247668,Undirected,647,,1
537951506,19267015,Undirected,714,,1
537951506,53053378,Undirected,853,,1
537951506,89194184,Undirected,927,,1
537951506,245556939,Undirected,995,,1
537951506,1295511949,Undirected,1038,,1
537951506,29774933,Undirected,1286,,1
537951506,38485549,Undirected,1357,,1
537951506,68674747,Undirected,1364,,1
537951506,153060554,Undirected,1472,,1
537951506,102789583,Undirected,1559,,1
537951506,115044590,Undirected,1565,,1
537951506,736341350,Undirected,1570,,1
537951506,157055308,Undirected,1594,,1
537951506,183310558,Undirected,1673,,1
537951506,707494670,Undirected,1690,,1
537951506,158487331,Undirected,1718,,1
537951506,594802359,Undirected,1734,,1
537951506,329686741,Undirected,1754,,1
537951506,813286,Undirected,1761,,1
537951506,102076372,Undirected,1809,,1
537951506,1231506325,Undirected,1832,,1
537951506,23575595,Undirected,1840,,1
537951506,162840111,Undirected,1865,,1
537951506,2788626986,Undirected,1927,,1
537951506,2222976084,Undirected,2051,,1
537951506,2277511217,Undirected,2164,,1
537951506,478492840,Undirected,2233,,1
537951506,2303406624,Undirected,2259,,1
537951506,37921477,Undirected,2261,,1
537951506,62873433,Undirected,2288,,1
537951506,90636188,Undirected,2302,,1
537951506,2742056954,Undirected,2303,,1
537951506,295345685,Undirected,2305,,1
537951506,1635567745,Undirected,2345,,1
537951506,248655839,Undirected,2369,,1
537951506,128155589,Undirected,2436,,1
537951506,147558951,Undirected,2442,,1
537951506,265618431,Undirected,2550,,1
537951506,316989623,Undirected,2553,,1
537951506,82322622,Undirected,2598,,1
537951506,402784738,Undirected,2602,,1
537951506,706563526530355200,Undirected,2620,,1
537951506,318967677,Undirected,2713,,1
537951506,1148332369,Undirected,2755,,1
537951506,217461138,Undirected,2771,,1
537951506,157932865,Undirected,2786,,1
537951506,16143542,Undirected,2812,,1
537951506,562953960,Undirected,2844,,1
537951506,426488154,Undirected,2849,,1
537951506,125832497,Undirected,2879,,1
537951506,243794759,Undirected,2935,,1
537951506,249186003,Undirected,2989,,1
537951506,41785723,Undirected,3023,,1
262230432,537951506,Undirected,2307,,1
262230432,950341134,Undirected,1948,,1
353786894,16240253,Undirected,1745,,1
262230432,16240253,Undirected,2019,,1
353786894,151123001,Undirected,2139,,1
353786894,21396136,Undirected,1058,,1
262230432,142334370,Undirected,2128,,1
262230432,1295511949,Undirected,2759,,1
353786894,1037633133523423232,Undirected,972,,1
353786894,19267015,Undirected,2141,,1
353786894,207071479,Undirected,2336,,1
353786894,556260847,Undirected,1618,,1
353786894,17540485,Undirected,979,,1
353786894,2222976084,Undirected,426,,1
353786894,329686741,Undirected,142,,1
353786894,69008563,Undirected,1519,,1
262230432,69008563,Undirected,1790,,1
262230432,315373823,Undirected,316,,1
353786894,318967677,Undirected,1060,,1
262230432,736341350,Undirected,229,,1
353786894,56672870,Undirected,786,,1
262230432,56672870,Undirected,1063,,1
262230432,23575595,Undirected,498,,1
353786894,23575595,Undirected,2258,,1
262230432,68674747,Undirected,5,,1
353786894,68674747,Undirected,2779,,1
353786894,56652148,Undirected,2541,,1
262230432,115044590,Undirected,219,,1
262230432,2827589488,Undirected,781,,1
262230432,478492840,Undirected,860,,1
262230432,2742056954,Undirected,933,,1
262230432,344634424,Undirected,957,,1
262230432,168630392,Undirected,1104,,1
262230432,316989623,Undirected,1193,,1
262230432,562953960,Undirected,1496,,1
262230432,243794759,Undirected,1579,,1
262230432,249186003,Undirected,1652,,1
262230432,80324287,Undirected,1837,,1
262230432,301678233,Undirected,1861,,1
262230432,87541152,Undirected,2057,,1
262230432,45578562,Undirected,2279,,1
262230432,108247668,Undirected,2352,,1
262230432,2650413864,Undirected,2663,,1
353786894,262230432,Undirected,1189,,1
353786894,217461138,Undirected,1121,,1
353786894,157055308,Undirected,3004,,1
353786894,53053378,Undirected,1319,,1
353786894,265618431,Undirected,900,,1
353786894,3143321146,Undirected,1263,,1
353786894,108247668,Undirected,1059,,1
353786894,21200516,Undirected,1866,,1
353786894,37921477,Undirected,618,,1
353786894,157932865,Undirected,1128,,1
353786894,80324287,Undirected,1562,,1
353786894,16143542,Undirected,171,,1
353786894,183310558,Undirected,63,,1
353786894,14872237,Undirected,615,,1
353786894,87541152,Undirected,1770,,1
353786894,162840111,Undirected,244,,1
353786894,31401945,Undirected,756,,1
353786894,23746926,Undirected,1217,,1
353786894,111280097,Undirected,228,,1
353786894,57099808,Undirected,2201,,1
353786894,379207068,Undirected,2344,,1
353786894,29774933,Undirected,2701,,1
353786894,101485496,Undirected,2023,,1
353786894,83870452,Undirected,603,,1
353786894,89194184,Undirected,2366,,1
353786894,249186003,Undirected,1382,,1
353786894,501836993,Undirected,1771,,1
353786894,402784738,Undirected,932,,1
353786894,594802359,Undirected,122,,1
353786894,386420143,Undirected,483,,1
353786894,62873433,Undirected,651,,1
353786894,1635567745,Undirected,707,,1
353786894,82322622,Undirected,930,,1
353786894,125832497,Undirected,1262,,1
353786894,41785723,Undirected,1403,,1
353786894,45578562,Undirected,1994,,1
353786894,75517951,Undirected,2251,,1
353786894,344634424,Undirected,2767,,1
353786894,316989623,Undirected,2963,,1
353786894,115044590,Undirected,2972,,1
