Id,modularity_class
716238475,3
188039706,5
437610627,5
248807431,4
138456571,3
214413743,0
2336701140,3
74153895,2
86221966,4
82724710,0
79412477,5
197314637,0
21044208,1
970154557,5
151398671,3
1903382054,1
45575696,4
219422455,5
507672047,0
116504344,0
31209800,3
97305237,0
118921833,3
2882426554,2
321388777,4
45843783,2
226087776,1
1121441719,2
68367000,1
22622572,2
703581570,5
30969644,0
224201809,3
169248299,0
2471739785,1
60706671,5
455801373,2
413383203,3
402629721,5
110918338,5
18936161,4
24871896,1
1174486086,0
64725596,5
121034444,1
134402553,5
20600235,4
1098828360,0
368276033,2
267304766,4
179414795,0
246735213,2
24871778,3
414248813,0
45112524,1
412659618,4
83855918,1
191879849,1
36339032,4
204074545,3
496969269,3
971608718,2
52686916,2
213969309,1
113301403,3
138041655,5
146813134,1
3063082745,1
4854457427,3
37680901,2
40837929,1
215952307,1
30180137,1
53047484,5
2375037612,5
24672558,2
475936983,4
2853456283,3
931712743,3
307286301,3
123577980,1
235910394,0
259143595,5
23440052,0
286196788,2
249694071,4
516464106,2
155642429,2
1131131095,5
506269108,3
195199790,3
321021481,5
32453930,1
35117415,0
120088875,2
78030647,3
20232903,4
1143472657,1
19916572,2
229447010,4
15603629,5
156606331,3
184329890,2
397306167,4
479265563,0
421957377,4
363176317,2
468551805,3
370056930,3
256569627,4
1464295423,5
1229481818,4
41562632,0
155620461,1
239796110,2
63490735,5
537951506,3
950341134,4
153060554,3
1186567051,2
309366491,2
813286,1
16240253,2
151123001,1
273538402,2
426488154,0
2303406624,3
507534639,2
10228272,1
21396136,5
28247294,0
142334370,4
19762524,1
1295511949,3
1037633133523423232,5
1148332369,3
19267015,5
207071479,2
556260847,1
17540485,5
29268463,1
147558951,3
2222976084,5
329686741,5
69008563,4
315373823,0
318967677,0
736341350,2
56672870,4
23575595,3
68674747,1
56652148,5
262230432,4
217461138,0
157055308,0
53053378,0
265618431,5
3143321146,0
108247668,4
2788626986,2
102789583,3
2650413864,4
21200516,0
37921477,2
55353207,0
157932865,5
168630392,4
80324287,4
2742056954,3
16143542,2
183310558,0
14872237,1
87541152,4
155927976,1
243794759,3
1337785291,1
1231506325,2
162840111,5
229454266,3
31401945,5
23746926,0
44122009,2
108568373,1
111280097,0
57099808,0
379207068,5
221817464,2
265352508,2
29774933,0
101485496,0
83870452,5
89194184,3
249186003,4
158487331,1
54502344,2
170863272,1
501836993,0
478492840,3
402784738,5
353786894,5
82322622,0
102076372,2
344634424,0
248655839,1
2827589488,4
2277511217,3
301521704,2
90636188,1
1635567745,5
301678233,4
50003640,0
295345685,3
45578562,4
128155589,1
125832497,0
115044590,0
594802359,3
113355808,2
707494670,2
242923013,2
706563526530355200,3
316989623,5
62873433,3
41785723,0
245556939,2
38485549,2
562953960,4
142204481,3
386420143,1
38170974,1
75517951,5
49391820,2
