id,label,location,num_followers,num_followings,num_tweets,is_verified
1292190259,genesisjan1,United Kingdom,477,283,507,False
1058807665126719488,StIcKyRamee,Paradise,74036,154,1231,False
4213926433,Chala_R6,"Las Vegas, NV",28638,524,694,True
716238475,InterlagosTrack,Interlagos - SP,12990,1827,2243,True
310203348,Mdelormeau,Paris,2092408,6946,24820,True
59394230,Vanessalemoigne,Bein SPORTS,121586,2847,27236,True
1330457336,BillClinton,"New York, NY",13242995,38,1171,True
632774461,ShockzCR,,12098,599,18476,True
14123683,andy_murray,London,3513939,151,3057,True
4877776109,SuperCazarre,,331812,3813,7143,False
932550269967175680,Michael_OB94,UK,660,87,962,False
101429458,McLarenFamily,McLaren Technology Centre,21645,8184,25887,False
631133410,Sky_SaschaR,Deutschland,15507,362,6867,False
116779603,goughieee6,"Nottingham, England",2046,3248,15205,False
24929621,ParisHilton,"Los Angeles, CA",16818255,12762,22756,True
188920171,Antoniocairoli,zzz,119691,2,17,True
32455481,RacingLines,Wherever F1 politics thrive,9972,703,11752,False
569138069,beinsports_FR,Francia,2410135,6701,212223,True
601909858,RachaelB100,Hereford,2249,3301,153624,False
96658827,Plum44LH,"United Kingdom, Somerset",158,705,621,False
17508484,Formula2,,346957,276,40622,True
21046818,jpmontoya,Miami,1094193,322,10772,True
3971623697,WorldSeriesV8,Spain,4340,267,8028,False
188039706,McIlroyRory,Holywood/PBG/On the road,3176087,422,3569,True
437610627,HarrySoden,Birmingham,683,1409,1083,False
35586902,RenaTaylor_F1,"Budapest, Hungary",1953,786,12527,False
14063426,PGATOUR,,2631692,1041,151711,True
248807431,DKarma,On Another Level,663042,1690,88215,True
138456571,alexlynnracing,Worldwide via Essex,16912,241,3259,True
229042636,MiguelMolinaM2,Lloret de Mar,14638,358,1908,True
266189468,Warren_S_Nel,In a forest......,5694,3953,145704,False
3108015385,CesarSkyz,"Chicago, IL",39604,999,5067,True
20400636,evenahguarts,"Bristol, England",939,463,51096,False
796379897547456512,schumacher,,195891,82,547,True
1196442078923890689,ArgentiTeam,"England, United Kingdom",275,44,220,False
34036028,JimmyKimmelLive,"Hollywood, CA",2066261,2523,19462,True
1530789037,ScherzyFansxo,,468,0,1538,False
784680583,NaomiCampbell,,731332,964,7431,True
214413743,danielricciardo,Monaco/Australia ,2361654,193,2497,True
16348455,alpinestars,,179157,564,12514,True
720303639277928448,100Thieves,"Los Angeles, CA",1050431,114,3152,True
562852503,XPBImages,,6057,319,1131,False
62930327,RobbieMaddison,"California, USA | NSW, AUS",59012,0,8780,False
238431491,FaZeClan,Worldwide,5606624,184,16580,True
1178535620,ASMSUPPORTERSFR,Monaco,7407,2021,28089,False
891305388,LamouriG,,986,1009,6288,False
4263884412,dokkan_official,,828877,2,2876,True
2336701140,RBContentPool,"Los Angeles, London, Salzburg",8116,4773,12244,True
61526988,LFC2505,,1464,2585,5301,False
437520768,Thom_astro,International Space Station,1266146,291,6902,True
