,src_username,weight,trg_username,date
0,Cexio8,1,CoinMarketCap,2021-05-31T20:27:28.000Z
1,elessarsmoth,1,CoinMarketCap,2021-05-31T20:25:56.000Z
2,MSam795,1,CoinMarketCap,2021-05-31T19:49:55.000Z
3,sumit94sinha,1,CoinMarketCap,2021-05-31T18:24:06.000Z
4,JustinC61158517,1,CoinMarketCap,2021-05-31T18:20:08.000Z
5,TopDevPro,1,CoinMarketCap,2021-05-31T18:19:48.000Z
6,ali59064587,1,CoinMarketCap,2021-05-31T18:15:25.000Z
7,Husain251202,1,CoinMarketCap,2021-05-31T18:15:16.000Z
8,DirtyGold_,1,CoinMarketCap,2021-05-31T16:35:22.000Z
9,Cristian_MR89,1,CoinMarketCap,2021-05-31T16:25:06.000Z
10,Kinnera15148170,1,CoinMarketCap,2021-05-31T16:19:32.000Z
11,ERC2OShitEater,1,CoinMarketCap,2021-05-31T15:15:53.000Z
12,FullXpToken,1,CoinMarketCap,2021-05-31T14:53:31.000Z
13,SalisKh08662513,1,CoinMarketCap,2021-05-31T14:46:16.000Z
14,Crypto_bubb,1,CoinMarketCap,2021-05-31T13:39:24.000Z
15,MehmetA92280577,1,CoinMarketCap,2021-05-31T12:57:05.000Z
16,Dldsiris,1,CoinMarketCap,2021-05-31T12:27:34.000Z
17,Satoshi_Bitmoto,1,CoinMarketCap,2021-05-31T11:48:40.000Z
18,gotham994,1,CoinMarketCap,2021-05-31T11:43:48.000Z
19,ADogan61249416,1,CoinMarketCap,2021-05-31T11:42:00.000Z
20,Lili58315377,1,CoinMarketCap,2021-05-31T11:25:36.000Z
21,JnHossein,1,CoinMarketCap,2021-05-31T10:41:40.000Z
22,AlexJeson2,1,CoinMarketCap,2021-05-31T10:36:12.000Z
23,ekon_kd,1,CoinMarketCap,2021-05-31T10:02:52.000Z
24,XSpaceX21006507,1,CoinMarketCap,2021-05-31T09:58:01.000Z
25,Sully_lone,1,CoinMarketCap,2021-05-31T09:43:59.000Z
26,Swissy51310311,1,CoinMarketCap,2021-05-31T09:26:05.000Z
27,TonyLongNB,1,CoinMarketCap,2021-05-31T09:23:43.000Z
28,Earthshaking992,1,CoinMarketCap,2021-05-31T09:21:41.000Z
29,Zohan67404188,1,CoinMarketCap,2021-05-31T08:55:24.000Z
30,blankley_callan,1,CoinMarketCap,2021-05-31T08:52:16.000Z
31,Uchenna92556184,1,CoinMarketCap,2021-05-31T08:36:34.000Z
32,Khalidmomo10,1,CoinMarketCap,2021-05-31T08:33:38.000Z
33,Perfect43784126,1,CoinMarketCap,2021-05-31T08:29:45.000Z
34,Reddy98510272,1,CoinMarketCap,2021-05-31T08:23:06.000Z
35,europe_safe,1,CoinMarketCap,2021-05-31T08:17:43.000Z
36,MuhsinAhamed6,1,CoinMarketCap,2021-05-31T08:05:43.000Z
37,ahmatqomari97,1,CoinMarketCap,2021-05-31T08:03:23.000Z
38,MikeBamford9,1,CoinMarketCap,2021-05-31T07:50:14.000Z
39,KriptoMania4,1,CoinMarketCap,2021-05-31T07:44:04.000Z
40,ShinShinShi00,1,CoinMarketCap,2021-05-31T07:42:09.000Z
41,AdaJESU86921237,1,CoinMarketCap,2021-05-31T07:32:01.000Z
42,AkshatJ22360761,1,CoinMarketCap,2021-05-31T07:17:32.000Z
43,MDRIPON51059008,1,CoinMarketCap,2021-05-31T07:14:28.000Z
44,Venkate74830404,1,CoinMarketCap,2021-05-31T07:09:03.000Z
45,AppunPrashanth,1,CoinMarketCap,2021-05-31T07:08:01.000Z
46,AppunPrashanth,1,CoinMarketCap,2021-05-31T07:07:49.000Z
47,OTsankov,1,CoinMarketCap,2021-05-31T07:06:38.000Z
48,b_hadarah,1,CoinMarketCap,2021-05-31T07:01:45.000Z
49,b_hadarah,1,CoinMarketCap,2021-05-31T07:00:32.000Z
50,joespark17,1,CoinMarketCap,2021-05-31T06:33:08.000Z
51,Foeuno2,1,CoinMarketCap,2021-05-31T06:30:18.000Z
52,Danieldeangelo8,1,CoinMarketCap,2021-05-31T06:11:41.000Z
53,juare_antonio,1,CoinMarketCap,2021-05-31T06:09:54.000Z
54,michalbar86,1,CoinMarketCap,2021-05-31T06:07:42.000Z
55,TayyabRahman20,1,CoinMarketCap,2021-05-31T06:01:56.000Z
56,abdo85913437,1,CoinMarketCap,2021-05-31T05:56:14.000Z
57,kgbF5c0QUPO9rJu,1,CoinMarketCap,2021-05-31T05:45:50.000Z
58,AshiegbuPearl,1,CoinMarketCap,2021-05-31T05:41:27.000Z
