DAY,MONTH,YEAR,TYPE,NUMBER
13,10,2020,Number,5
13,10,2020,Number,14
13,10,2020,Number,38
13,10,2020,Number,41
13,10,2020,Number,46
13,10,2020,Star,1
13,10,2020,Star,10
9,10,2020,Number,11
9,10,2020,Number,15
9,10,2020,Number,35
9,10,2020,Number,41
9,10,2020,Number,50
9,10,2020,Star,5
9,10,2020,Star,8
6,10,2020,Number,4
6,10,2020,Number,21
6,10,2020,Number,36
6,10,2020,Number,41
6,10,2020,Number,47
6,10,2020,Star,9
6,10,2020,Star,11
2,10,2020,Number,6
2,10,2020,Number,12
2,10,2020,Number,15
2,10,2020,Number,40
2,10,2020,Number,45
2,10,2020,Star,3
2,10,2020,Star,9
29,09,2020,Number,4
29,09,2020,Number,14
29,09,2020,Number,16
29,09,2020,Number,41
29,09,2020,Number,44
29,09,2020,Star,11
29,09,2020,Star,12
25,09,2020,Number,19
25,09,2020,Number,23
25,09,2020,Number,34
25,09,2020,Number,37
25,09,2020,Number,45
25,09,2020,Star,1
25,09,2020,Star,7
22,09,2020,Number,16
22,09,2020,Number,25
22,09,2020,Number,28
22,09,2020,Number,39
22,09,2020,Number,40
22,09,2020,Star,1
22,09,2020,Star,6
18,09,2020,Number,2
18,09,2020,Number,10
18,09,2020,Number,19
18,09,2020,Number,25
18,09,2020,Number,45
18,09,2020,Star,1
18,09,2020,Star,7
15,09,2020,Number,16
15,09,2020,Number,20
15,09,2020,Number,25
15,09,2020,Number,30
15,09,2020,Number,38
15,09,2020,Star,6
15,09,2020,Star,8
11,09,2020,Number,34
11,09,2020,Number,38
11,09,2020,Number,42
11,09,2020,Number,43
11,09,2020,Number,45
11,09,2020,Star,9
11,09,2020,Star,12
8,09,2020,Number,2
8,09,2020,Number,9
8,09,2020,Number,31
8,09,2020,Number,35
8,09,2020,Number,41
8,09,2020,Star,9
8,09,2020,Star,12
4,09,2020,Number,6
4,09,2020,Number,22
4,09,2020,Number,29
4,09,2020,Number,40
4,09,2020,Number,43
4,09,2020,Star,4
4,09,2020,Star,7
1,09,2020,Number,4
1,09,2020,Number,8
1,09,2020,Number,10
1,09,2020,Number,33
1,09,2020,Number,46
1,09,2020,Star,8
1,09,2020,Star,11
28,08,2020,Number,7
28,08,2020,Number,12
28,08,2020,Number,16
28,08,2020,Number,17
28,08,2020,Number,31
28,08,2020,Star,7
28,08,2020,Star,9
25,08,2020,Number,7
25,08,2020,Number,18
25,08,2020,Number,30
25,08,2020,Number,37
25,08,2020,Number,39
25,08,2020,Star,8
25,08,2020,Star,10
21,08,2020,Number,10
21,08,2020,Number,15
21,08,2020,Number,35
21,08,2020,Number,44
21,08,2020,Number,50
21,08,2020,Star,3
21,08,2020,Star,5
18,08,2020,Number,6
18,08,2020,Number,12
18,08,2020,Number,17
18,08,2020,Number,34
18,08,2020,Number,42
18,08,2020,Star,5
18,08,2020,Star,12
14,08,2020,Number,9
14,08,2020,Number,10
14,08,2020,Number,19
14,08,2020,Number,42
14,08,2020,Number,49
14,08,2020,Star,4
14,08,2020,Star,12
11,08,2020,Number,8
11,08,2020,Number,13
11,08,2020,Number,14
11,08,2020,Number,42
11,08,2020,Number,50
11,08,2020,Star,3
11,08,2020,Star,9
7,08,2020,Number,5
7,08,2020,Number,20
7,08,2020,Number,21
7,08,2020,Number,36
7,08,2020,Number,41
7,08,2020,Star,6
7,08,2020,Star,11
4,08,2020,Number,1
4,08,2020,Number,2
4,08,2020,Number,5
4,08,2020,Number,15
4,08,2020,Number,42
4,08,2020,Star,5
4,08,2020,Star,8
31,07,2020,Number,21
31,07,2020,Number,24
31,07,2020,Number,30
31,07,2020,Number,46
31,07,2020,Number,49
31,07,2020,Star,2
31,07,2020,Star,5
28,07,2020,Number,9
28,07,2020,Number,13
28,07,2020,Number,15
28,07,2020,Number,17
28,07,2020,Number,34
28,07,2020,Star,2
28,07,2020,Star,7
24,07,2020,Number,8
24,07,2020,Number,9
24,07,2020,Number,27
24,07,2020,Number,28
24,07,2020,Number,50
24,07,2020,Star,4
24,07,2020,Star,12
21,07,2020,Number,14
21,07,2020,Number,15
21,07,2020,Number,24
21,07,2020,Number,29
21,07,2020,Number,42
21,07,2020,Star,2
21,07,2020,Star,4
17,07,2020,Number,7
17,07,2020,Number,15
17,07,2020,Number,27
17,07,2020,Number,41
17,07,2020,Number,43
17,07,2020,Star,7
17,07,2020,Star,9
14,07,2020,Number,11
14,07,2020,Number,22
14,07,2020,Number,30
14,07,2020,Number,37
14,07,2020,Number,47
14,07,2020,Star,9
14,07,2020,Star,10
10,07,2020,Number,15
10,07,2020,Number,17
10,07,2020,Number,23
10,07,2020,Number,30
10,07,2020,Number,38
10,07,2020,Star,2
10,07,2020,Star,7
7,07,2020,Number,12
7,07,2020,Number,16
7,07,2020,Number,23
7,07,2020,Number,33
7,07,2020,Number,41
7,07,2020,Star,8
7,07,2020,Star,10
3,07,2020,Number,4
3,07,2020,Number,16
3,07,2020,Number,27
3,07,2020,Number,37
3,07,2020,Number,39
3,07,2020,Star,3
3,07,2020,Star,6
30,06,2020,Number,1
30,06,2020,Number,6
30,06,2020,Number,11
30,06,2020,Number,28
30,06,2020,Number,42
30,06,2020,Star,2
30,06,2020,Star,10
26,06,2020,Number,1
26,06,2020,Number,10
26,06,2020,Number,12
26,06,2020,Number,21
26,06,2020,Number,26
26,06,2020,Star,5
26,06,2020,Star,11
23,06,2020,Number,2
23,06,2020,Number,12
23,06,2020,Number,19
23,06,2020,Number,46
23,06,2020,Number,49
23,06,2020,Star,1
23,06,2020,Star,8
19,06,2020,Number,5
19,06,2020,Number,14
19,06,2020,Number,19
19,06,2020,Number,24
19,06,2020,Number,43
19,06,2020,Star,3
19,06,2020,Star,11
16,06,2020,Number,4
16,06,2020,Number,9
16,06,2020,Number,11
16,06,2020,Number,17
16,06,2020,Number,39
16,06,2020,Star,2
16,06,2020,Star,10
12,06,2020,Number,2
12,06,2020,Number,24
12,06,2020,Number,39
12,06,2020,Number,45
12,06,2020,Number,46
12,06,2020,Star,4
12,06,2020,Star,8
9,06,2020,Number,5
9,06,2020,Number,15
9,06,2020,Number,27
9,06,2020,Number,36
9,06,2020,Number,46
9,06,2020,Star,2
9,06,2020,Star,8
5,06,2020,Number,5
5,06,2020,Number,11
5,06,2020,Number,17
5,06,2020,Number,24
5,06,2020,Number,37
5,06,2020,Star,3
5,06,2020,Star,6
2,06,2020,Number,10
2,06,2020,Number,12
2,06,2020,Number,22
2,06,2020,Number,26
2,06,2020,Number,49
2,06,2020,Star,7
2,06,2020,Star,11
29,05,2020,Number,4
29,05,2020,Number,8
29,05,2020,Number,11
29,05,2020,Number,19
29,05,2020,Number,46
29,05,2020,Star,4
29,05,2020,Star,8
26,05,2020,Number,4
26,05,2020,Number,9
26,05,2020,Number,14
26,05,2020,Number,21
26,05,2020,Number,27
26,05,2020,Star,4
26,05,2020,Star,6
22,05,2020,Number,3
22,05,2020,Number,18
22,05,2020,Number,22
22,05,2020,Number,27
22,05,2020,Number,32
22,05,2020,Star,2
22,05,2020,Star,7
19,05,2020,Number,5
19,05,2020,Number,25
19,05,2020,Number,32
19,05,2020,Number,37
19,05,2020,Number,43
19,05,2020,Star,6
19,05,2020,Star,7
15,05,2020,Number,11
15,05,2020,Number,23
15,05,2020,Number,32
15,05,2020,Number,34
15,05,2020,Number,39
15,05,2020,Star,1
15,05,2020,Star,6
12,05,2020,Number,9
12,05,2020,Number,16
12,05,2020,Number,29
12,05,2020,Number,37
12,05,2020,Number,39
12,05,2020,Star,4
12,05,2020,Star,11
8,05,2020,Number,8
8,05,2020,Number,25
8,05,2020,Number,32
8,05,2020,Number,33
8,05,2020,Number,38
8,05,2020,Star,7
8,05,2020,Star,9
5,05,2020,Number,2
5,05,2020,Number,10
5,05,2020,Number,22
5,05,2020,Number,27
5,05,2020,Number,41
5,05,2020,Star,2
5,05,2020,Star,3
1,05,2020,Number,19
1,05,2020,Number,20
1,05,2020,Number,38
1,05,2020,Number,45
1,05,2020,Number,47
1,05,2020,Star,2
1,05,2020,Star,6
28,04,2020,Number,15
28,04,2020,Number,23
28,04,2020,Number,26
28,04,2020,Number,28
28,04,2020,Number,32
28,04,2020,Star,1
28,04,2020,Star,5
24,04,2020,Number,1
24,04,2020,Number,5
24,04,2020,Number,19
24,04,2020,Number,21
24,04,2020,Number,28
24,04,2020,Star,4
24,04,2020,Star,7
21,04,2020,Number,10
21,04,2020,Number,11
21,04,2020,Number,14
21,04,2020,Number,23
21,04,2020,Number,28
21,04,2020,Star,6
21,04,2020,Star,8
17,04,2020,Number,16
17,04,2020,Number,28
17,04,2020,Number,32
17,04,2020,Number,37
17,04,2020,Number,45
17,04,2020,Star,1
17,04,2020,Star,11
14,04,2020,Number,6
14,04,2020,Number,29
14,04,2020,Number,34
14,04,2020,Number,35
14,04,2020,Number,40
14,04,2020,Star,4
14,04,2020,Star,11
10,04,2020,Number,3
10,04,2020,Number,10
10,04,2020,Number,17
10,04,2020,Number,33
10,04,2020,Number,39
10,04,2020,Star,1
10,04,2020,Star,4
7,04,2020,Number,4
7,04,2020,Number,5
7,04,2020,Number,14
7,04,2020,Number,33
7,04,2020,Number,48
7,04,2020,Star,7
7,04,2020,Star,12
3,04,2020,Number,16
3,04,2020,Number,19
3,04,2020,Number,34
3,04,2020,Number,46
3,04,2020,Number,50
3,04,2020,Star,2
3,04,2020,Star,6
31,03,2020,Number,12
31,03,2020,Number,17
31,03,2020,Number,24
